Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,NorthCarolina,Tennessee,Texas,filter_$
13,Loan Officers,3.75,1.25,1,3,3.75,2,3.25,2,4,4,2.25,1,3,1,1,1.88,4,3.88,2,2,2,2,2,2,1,88100,73980,76010,0
13,Logisticians,4,1.38,1.12,3.38,4,1,3,2.75,4,4,2.75,1,2.88,1,1,3.12,4,3.62,2,2,3,3,2,2,1,83140,68020,79770,0
13,Management Analysts,4,1,1,3.75,4,1,3,2.88,4.12,4.12,2.62,1,3,1,1,2.12,4.12,4,2,2,3,3,2,2,1,106830,102350,107550,0
13,Market Research Analysts and Marketing Specialists,4,1,1,4,4.12,1.12,3.38,2.75,4,4,2.75,1,2.88,1,1,2.38,4,4,2,2,2,3,2,1,1,85760,73380,75210,0
13,"Meeting, Convention, and Event Planners",3.88,1.88,1.25,3.75,3.62,2.25,3,2.38,4,4,2.62,1.62,3.12,2,1.88,3,4,4,2,2,3,3,2,2,1,62830,51400,57350,0
13,Personal Financial Advisors,3.75,1,1,3.12,3.88,1,3.62,2.62,4,4,2.88,1,2.88,1,1,2,4,3.75,2,2,3,3,2,1,1, ,143910,126020,0
13,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.75,1.12,1,3,3.75,1.38,3.12,2.5,4,3.88,2.25,1,2.88,1,1,2,4.12,3.88,2,2,3,3,2,2,1, , , ,0
13,"Tax Examiners and Collectors, and Revenue Agents",4,1.25,1,2.75,4,1.88,3.12,2.88,4,4,2.88,1,2.88,1,1,2.12,4,3.62,1,2,3,2,1,1,1,64350,55490,65510,0
13,Tax Preparers,3.62,1,1,2.88,3.38,1.88,3.25,2.25,3.88,3.5,2.62,1,2.88,1,1,2.12,3.88,3.12,1,2,2,1,1,1,1,52810,46290,60320,0
13,Training and Development Specialists,3.75,1,1,3.75,3.62,1,2.5,3,4,4.12,2.62,1,3,1,1,2.38,4,4,2,2,3,3,2,2,1,66300,62830,70440,0
13,"Wholesale and Retail Buyers, Except Farm Products",3.75,1.75,1.25,3,3.25,2,3.5,2.12,4,4,2.62,1,3,1.5,2,2.5,3.75,3,2,2,3,3,2,1,1, , , ,0
23,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.12,1.12,1,2.88,4.25,1.75,2.25,2.62,4.25,4,2.62,1,3.12,1,1,1.75,4.25,4.12,2,2,3,2,2,2,1,117070,109260,101680,0
23,"Arbitrators, Mediators, and Conciliators",4,1,1,3.12,4,1,2.12,2,4.12,4.12,2,1,3.25,1,1,2,4.25,4.25,2,2,3,3,2,1,1,74000,65340,55730,0
23,"Judges, Magistrate Judges, and Magistrates",4.62,1.12,1,3,4.25,1,2.12,2.75,4.62,4.25,2.75,1.12,3,1,1.12,2,4.38,4.12,2,2,3,2,2,2,1, ,161890,122990,0
23,Judicial Law Clerks,3.75,1.25,1,3,3.88,1.38,2.5,2.62,4.25,4.12,2.5,1,3,1,1,1.88,4.5,4.25,2,2,2,2,1,2,1, ,81080,65670,0
23,Lawyers,4.12,1,1,3.75,4,1.12,2.62,2.88,4.62,4.88,2.62,1,3.25,1,1,2.5,4.62,4.5,2,2,3,3,2,2,1,159830,155290,162840,0
23,Paralegals and Legal Assistants,3.25,1.12,1,2.75,3.25,1.88,2,2.62,3.88,3.88,2.88,1,2.88,1,1,2,4,3.88,1,2,2,2,1,1,1,56810,57360,62650,0
