Player,Team,Affiliation,Year,RoundNumber,OverallPick,POS,BODYFATGrp,HgtGrp,WEIGHTLBS,HgtNSIn,StRchIn,WSpanIn,LaneAgSec,ShRunSec,SprintSec,StVertIn,MaxLeapIn,MaxBPReps
Jaxson Hayes,Atlanta Hawks,Texas,2019,1,8,PF,1,2,218.6,82.25,110.5,87.5,11.74,3.23,3.37,27,34.5,5
Jaylen Hands,LA Clippers,California-Los Angeles,2019,2,56,PG,1,1,180.4,73.5,97,77.5,10.73,3.03,3.12,33,41.5,6
Jaylen Nowell,Minnesota Timberwolves,Washington,2019,2,43,SG,2,1,202.4,75.25,98,79.25,10.76,3.13,3.23,32,38.5,2
Jeff Withey,Portland Trail Blazers,Kansas,2013,2,39,C,3,2,221.8,82.75,110.5,86,12.49,3.29,3.47,26.5,29,10
Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,32,PG,1,1,196.2,72.25,95,76.25,11.04,3.05,3.18,29,36.5,14
John Collins,Atlanta Hawks,Wake Forest,2017,1,19,PF,1,2,225.2,80.25,106.5,83.25,11.66,3.27,3.27,33,37.5,15
Jordan Bell,Chicago Bulls,Oregon,2017,2,38,PF,1,2,223.6,79,104.5,83.75,10.63,2.83,3.21,31.5,38,16
Jordan Bone,New Orleans Pelicans,Tennessee,2019,2,57,SG,1,1,179,73.5,95,75.25,9.97,2.78,3.08,36,42.5,7
Jordan Mickey,Boston Celtics,Louisiana State,2015,2,33,PF,3,2,238,79,106,87.25,11.72,3.13,3.28,33,37.5,9
Josh Hart,Utah Jazz,Villanova,2017,1,30,SG,2,1,209.2,75.75,101,80.25,11.15,3.02,3.18,27.5,35.5,9
Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,SG,1,1,210.8,75,102,84,11.08,3.03,3.04,33,42,12
Justin Anderson,Dallas Mavericks,Virginia,2015,1,21,SF,1,1,230.6,77.25,101,83.75,11.13,2.88,3.22,38,43,12
Kadeem Allen,Boston Celtics,Arizona,2017,2,53,PG,2,1,192.4,73,99.5,81.25,11.24,2.98,3.15,33,35.5,7
Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,48,SG,1,2,223.8,79.25,106.5,87.25,11.2,3.28,3.17,30.5,35,11
Kelly Olynyk,Dallas Mavericks,Gonzaga,2013,1,13,PF,2,2,234,82.75,108,81.75,11.42,2.99,3.59,24.5,29.5,5
Kentavious Caldwell-Pope,Detroit Pistons,Georgia,2013,1,8,SG,2,1,203.6,76.5,100.5,80,10.6,3.2,3.12,29,34.5,7
Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,57,PF,1,1,211.6,78.5,107,87.5,11.28,3.15,3.36,27.5,32,4
Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,SG,3,1,194,78.25,101.5,79.5,10.89,2.97,3.09,31,38,9
Kevin Porter Jr.,Milwaukee Bucks,Southern California,2019,1,30,SG,1,1,212.6,76,103,81,10.82,3.03,3.14,27,34,2
Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,38,SG,2,1,198.8,74.5,101,82.5,10.96,3.18,3.18,30,35,14
Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,60,PF,1,2,194.8,81,110,86.25,12.48,3.48,3.21,29.5,35,0
Kyle Guy,New York Knicks,Virginia,2019,2,55,SG,2,1,167.8,72.75,95.5,76.5,10.48,3.07,3.27,30.5,36.5,4
Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27,SF,3,2,222.6,80,107.5,84.25,10.72,2.98,3.25,27,34,12
KZ Okpala,Phoenix Suns,Stanford,2019,2,32,SF,1,2,209.6,79.25,106.5,85.75,10.88,3.13,3.38,30.5,37,9
Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,PG,1,1,188.6,76,100,78.75,11.26,3.21,3.11,31,39.5,8
Lorenzo Brown,Minnesota Timberwolves,North Carolina State,2013,2,52,PG,1,1,189.2,76,100,79,11.78,3.24,3.4,28,34,8
Luka Samanic,San Antonio Spurs,KK Olimpija (Slovenia),2019,1,19,PF,2,2,227.2,81.5,107,82.5,11.01,3.03,3.27,27,38,7
Marcus Thornton,Boston Celtics,William & Mary,2015,2,45,PG,1,1,177.4,73.75,97.5,79.75,10.78,2.88,3.02,34.5,43,3
Marial Shayok,Philadelphia 76ers,Virginia,2019,2,54,SF,1,1,196.8,76.5,103.5,84.25,11.16,3.04,3.37,29.5,36.5,9
Mason Plumlee,Brooklyn Nets,Duke,2013,1,22,C,2,2,238.2,83.25,108,83,10.89,2.76,3.29,30.5,36,14
Mfiondu Kabengele,Brooklyn Nets,Florida State,2019,1,27,PF,1,2,256.2,80.75,109.5,87,11.21,3.3,3.25,28,35.5,6
